==========
Args:Namespace(eval_step=-1, evaluate=False, gpu_devices='0', print_freq=10, resume='', save_dir='log', seed=1, start_epoch=0, start_eval=0, use_cpu=False)
==========
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
['/root/dataset/Market/bounding_box_train', '/root/dataset/Market/bounding_box_test', '/root/dataset/Market/query'],no problem
Initializing model: ResNet50
Model size: 25.04683M
==> Start training
Epoch: [1][1/404]	Time 8.244 (8.244)	Data 0.306 (0.306)	Loss 6.6268 (6.6268)	
Epoch: [1][2/404]	Time 0.158 (4.201)	Data 0.001 (0.154)	Loss 6.6781 (6.6524)	
Epoch: [1][3/404]	Time 0.116 (2.839)	Data 0.001 (0.103)	Loss 6.5045 (6.6031)	
Epoch: [1][4/404]	Time 0.123 (2.160)	Data 0.001 (0.077)	Loss 6.6566 (6.6165)	
Epoch: [1][5/404]	Time 0.120 (1.752)	Data 0.001 (0.062)	Loss 6.7488 (6.6430)	
Epoch: [1][6/404]	Time 0.122 (1.481)	Data 0.002 (0.052)	Loss 6.8702 (6.6808)	
Epoch: [1][7/404]	Time 0.124 (1.287)	Data 0.001 (0.045)	Loss 6.5674 (6.6646)	
Epoch: [1][8/404]	Time 0.120 (1.141)	Data 0.001 (0.039)	Loss 7.0129 (6.7082)	
Epoch: [1][9/404]	Time 0.162 (1.032)	Data 0.001 (0.035)	Loss 6.9894 (6.7394)	
Epoch: [1][10/404]	Time 0.121 (0.941)	Data 0.001 (0.032)	Loss 7.2217 (6.7877)	
Epoch: [1][11/404]	Time 0.123 (0.867)	Data 0.001 (0.029)	Loss 7.1065 (6.8166)	
Epoch: [1][12/404]	Time 0.121 (0.804)	Data 0.001 (0.027)	Loss 7.0290 (6.8343)	
Epoch: [1][13/404]	Time 0.120 (0.752)	Data 0.001 (0.025)	Loss 7.2446 (6.8659)	
Epoch: [1][14/404]	Time 0.122 (0.707)	Data 0.001 (0.023)	Loss 7.0499 (6.8790)	
Epoch: [1][15/404]	Time 0.121 (0.668)	Data 0.001 (0.022)	Loss 7.0138 (6.8880)	
Epoch: [1][16/404]	Time 0.122 (0.634)	Data 0.001 (0.020)	Loss 7.4240 (6.9215)	
Epoch: [1][17/404]	Time 0.121 (0.604)	Data 0.001 (0.019)	Loss 7.6187 (6.9625)	
Epoch: [1][18/404]	Time 0.122 (0.577)	Data 0.001 (0.018)	Loss 7.5214 (6.9936)	
Epoch: [1][19/404]	Time 0.121 (0.553)	Data 0.001 (0.017)	Loss 7.4995 (7.0202)	
Epoch: [1][20/404]	Time 0.121 (0.531)	Data 0.001 (0.017)	Loss 8.0463 (7.0715)	
Epoch: [1][21/404]	Time 0.162 (0.514)	Data 0.001 (0.016)	Loss 7.1412 (7.0748)	
Epoch: [1][22/404]	Time 0.114 (0.495)	Data 0.001 (0.015)	Loss 7.1112 (7.0765)	
Epoch: [1][23/404]	Time 0.119 (0.479)	Data 0.001 (0.015)	Loss 6.9671 (7.0717)	
Epoch: [1][24/404]	Time 0.120 (0.464)	Data 0.001 (0.014)	Loss 7.4988 (7.0895)	
Epoch: [1][25/404]	Time 0.116 (0.450)	Data 0.001 (0.014)	Loss 6.8182 (7.0787)	
Epoch: [1][26/404]	Time 0.117 (0.437)	Data 0.001 (0.013)	Loss 6.7981 (7.0679)	
Epoch: [1][27/404]	Time 0.122 (0.426)	Data 0.001 (0.013)	Loss 6.6068 (7.0508)	
Epoch: [1][28/404]	Time 0.119 (0.415)	Data 0.001 (0.012)	Loss 6.9395 (7.0468)	
Epoch: [1][29/404]	Time 0.115 (0.404)	Data 0.001 (0.012)	Loss 6.5683 (7.0303)	
Epoch: [1][30/404]	Time 0.120 (0.395)	Data 0.001 (0.012)	Loss 6.6327 (7.0171)	
Epoch: [1][31/404]	Time 0.118 (0.386)	Data 0.001 (0.011)	Loss 6.7509 (7.0085)	
Epoch: [1][32/404]	Time 0.117 (0.378)	Data 0.001 (0.011)	Loss 6.4584 (6.9913)	
Epoch: [1][33/404]	Time 0.161 (0.371)	Data 0.002 (0.011)	Loss 6.5478 (6.9779)	
Epoch: [1][34/404]	Time 0.121 (0.364)	Data 0.001 (0.010)	Loss 6.6835 (6.9692)	
Epoch: [1][35/404]	Time 0.116 (0.357)	Data 0.001 (0.010)	Loss 6.5833 (6.9582)	
Epoch: [1][36/404]	Time 0.118 (0.350)	Data 0.001 (0.010)	Loss 6.6909 (6.9507)	
Epoch: [1][37/404]	Time 0.116 (0.344)	Data 0.001 (0.010)	Loss 6.7000 (6.9440)	
Epoch: [1][38/404]	Time 0.114 (0.338)	Data 0.001 (0.009)	Loss 6.7885 (6.9399)	
Epoch: [1][39/404]	Time 0.120 (0.332)	Data 0.001 (0.009)	Loss 6.5685 (6.9304)	
Epoch: [1][40/404]	Time 0.116 (0.327)	Data 0.001 (0.009)	Loss 6.7623 (6.9262)	
Epoch: [1][41/404]	Time 0.122 (0.322)	Data 0.001 (0.009)	Loss 6.7304 (6.9214)	
Epoch: [1][42/404]	Time 0.119 (0.317)	Data 0.001 (0.009)	Loss 6.4170 (6.9094)	
Epoch: [1][43/404]	Time 0.117 (0.312)	Data 0.001 (0.008)	Loss 6.6726 (6.9039)	
Epoch: [1][44/404]	Time 0.117 (0.308)	Data 0.001 (0.008)	Loss 6.6096 (6.8972)	
Epoch: [1][45/404]	Time 0.147 (0.304)	Data 0.001 (0.008)	Loss 6.5749 (6.8900)	
Epoch: [1][46/404]	Time 0.124 (0.300)	Data 0.001 (0.008)	Loss 6.7496 (6.8870)	
Epoch: [1][47/404]	Time 0.122 (0.296)	Data 0.001 (0.008)	Loss 6.5593 (6.8800)	
Epoch: [1][48/404]	Time 0.122 (0.293)	Data 0.001 (0.008)	Loss 6.6008 (6.8742)	
Epoch: [1][49/404]	Time 0.116 (0.289)	Data 0.001 (0.008)	Loss 6.5584 (6.8677)	
Epoch: [1][50/404]	Time 0.118 (0.286)	Data 0.001 (0.007)	Loss 6.3621 (6.8576)	
Epoch: [1][51/404]	Time 0.119 (0.282)	Data 0.001 (0.007)	Loss 6.7031 (6.8546)	
Epoch: [1][52/404]	Time 0.120 (0.279)	Data 0.002 (0.007)	Loss 6.6060 (6.8498)	
Epoch: [1][53/404]	Time 0.118 (0.276)	Data 0.001 (0.007)	Loss 6.6262 (6.8456)	
Epoch: [1][54/404]	Time 0.119 (0.273)	Data 0.001 (0.007)	Loss 6.6315 (6.8416)	
Epoch: [1][55/404]	Time 0.118 (0.271)	Data 0.001 (0.007)	Loss 6.7007 (6.8391)	
Epoch: [1][56/404]	Time 0.122 (0.268)	Data 0.002 (0.007)	Loss 6.5684 (6.8342)	
Epoch: [1][57/404]	Time 0.152 (0.266)	Data 0.001 (0.007)	Loss 6.4924 (6.8282)	
Epoch: [1][58/404]	Time 0.122 (0.263)	Data 0.001 (0.007)	Loss 6.5729 (6.8238)	
Epoch: [1][59/404]	Time 0.118 (0.261)	Data 0.001 (0.007)	Loss 6.6496 (6.8209)	
Epoch: [1][60/404]	Time 0.116 (0.259)	Data 0.001 (0.006)	Loss 6.6212 (6.8175)	
Epoch: [1][61/404]	Time 0.120 (0.256)	Data 0.001 (0.006)	Loss 6.7261 (6.8160)	
Epoch: [1][62/404]	Time 0.119 (0.254)	Data 0.001 (0.006)	Loss 6.7389 (6.8148)	
Epoch: [1][63/404]	Time 0.117 (0.252)	Data 0.001 (0.006)	Loss 6.5770 (6.8110)	
Epoch: [1][64/404]	Time 0.120 (0.250)	Data 0.001 (0.006)	Loss 6.6873 (6.8091)	
Epoch: [1][65/404]	Time 0.119 (0.248)	Data 0.002 (0.006)	Loss 6.4555 (6.8037)	
Epoch: [1][66/404]	Time 0.122 (0.246)	Data 0.002 (0.006)	Loss 6.6368 (6.8011)	
Epoch: [1][67/404]	Time 0.123 (0.244)	Data 0.001 (0.006)	Loss 6.4867 (6.7964)	
Epoch: [1][68/404]	Time 0.121 (0.242)	Data 0.001 (0.006)	Loss 6.6480 (6.7942)	
Epoch: [1][69/404]	Time 0.150 (0.241)	Data 0.001 (0.006)	Loss 6.4867 (6.7898)	
Epoch: [1][70/404]	Time 0.120 (0.239)	Data 0.001 (0.006)	Loss 6.7609 (6.7894)	
Epoch: [1][71/404]	Time 0.118 (0.237)	Data 0.001 (0.006)	Loss 6.5384 (6.7858)	
Epoch: [1][72/404]	Time 0.118 (0.236)	Data 0.001 (0.006)	Loss 6.8542 (6.7868)	
Epoch: [1][73/404]	Time 0.122 (0.234)	Data 0.001 (0.006)	Loss 6.8173 (6.7872)	
Epoch: [1][74/404]	Time 0.121 (0.233)	Data 0.001 (0.006)	Loss 6.5991 (6.7847)	
Epoch: [1][75/404]	Time 0.121 (0.231)	Data 0.001 (0.005)	Loss 6.5084 (6.7810)	
Epoch: [1][76/404]	Time 0.122 (0.230)	Data 0.001 (0.005)	Loss 6.3480 (6.7753)	
Epoch: [1][77/404]	Time 0.120 (0.228)	Data 0.001 (0.005)	Loss 6.6107 (6.7732)	
Epoch: [1][78/404]	Time 0.120 (0.227)	Data 0.001 (0.005)	Loss 6.6246 (6.7712)	
Epoch: [1][79/404]	Time 0.121 (0.226)	Data 0.001 (0.005)	Loss 6.5874 (6.7689)	
Epoch: [1][80/404]	Time 0.123 (0.224)	Data 0.001 (0.005)	Loss 6.5631 (6.7663)	
Epoch: [1][81/404]	Time 0.149 (0.223)	Data 0.001 (0.005)	Loss 6.5489 (6.7637)	
Epoch: [1][82/404]	Time 0.123 (0.222)	Data 0.001 (0.005)	Loss 6.5676 (6.7613)	
Epoch: [1][83/404]	Time 0.121 (0.221)	Data 0.001 (0.005)	Loss 6.5975 (6.7593)	
Epoch: [1][84/404]	Time 0.121 (0.220)	Data 0.001 (0.005)	Loss 6.5571 (6.7569)	
